l=0, p=27, p2=36, z=3.3063045731361735, z2=1.629264333556279, w=0.0010990566824856298, w2=0.0010151945029907442, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=28, p2=34, z=0.009751895753062123, z2=1.977932248798078, w=0.0010923837429037025, w2=0.0010863541384816674, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=31, p2=32, z=2.545650734559728, z2=3.0453123603077623, w=0.001069931172543249, w2=0.0010788720282522278, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=27, p2=36, z=1.7303345974422066, z2=2.593583196174853, w=0.0010754369541604648, w2=0.001043414812865823, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=35, p2=26, z=1.8514596693317587, z2=0.6287265893528075, w=0.001061672154807845, w2=0.001089753065943556, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=26, p2=35, z=0.8265033092227295, z2=1.363685740506755, w=0.0010291449083431954, w2=0.0010668522048388278, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=40, p2=21, z=1.3582604594419747, z2=2.495028973579491, w=0.0010541575206246272, w2=0.0010261352323414489, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=25, p2=37, z=1.072026435885121, z2=3.384265021956757, w=0.0010688251165072342, w2=0.001034576621782154, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=22, p2=40, z=1.1569309719243832, z2=1.9129252288738356, w=0.0010787845263597017, w2=0.0010494945662706718, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=25, p2=36, z=0.5644373924506054, z2=1.8655383755435577, w=0.0010745972338080437, w2=0.0010485022707689598, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=27, p2=35, z=3.700291008678584, z2=2.2307997269106914, w=0.001075380586206022, w2=0.0010512746742960075, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=31, p2=32, z=2.2832705757275527, z2=0.25225228076900785, w=0.00104928915691682, w2=0.0010992753273251952, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=37, p2=24, z=2.728367891486988, z2=1.4972899105101156, w=0.0010326753389378375, w2=0.0010126524171503609, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=36, p2=26, z=1.7810021599349566, z2=2.8693544758682727, w=0.0010521300878324963, w2=0.001010577079626222, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=35, p2=25, z=3.5540560517066835, z2=3.4781840310260868, w=0.0010984218014564774, w2=0.0010402449127169713, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=27, p2=36, z=2.2010453034592716, z2=3.693739436421697, w=0.0010542513899038815, w2=0.0010686636755785973, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=29, p2=33, z=2.1418182068322755, z2=0.6106313818611255, w=0.0010064559590173302, w2=0.0010366188651203404, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=36, p2=24, z=1.7946184986036149, z2=2.7418425575016045, w=0.001058076460331719, w2=0.0010494896607373748, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=21, p2=40, z=2.2223051300206254, z2=1.542645550392081, w=0.0010293617780657274, w2=0.0010315821379651307, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=27, p2=36, z=1.9931807285538983, z2=0.3540897533399919, w=0.0010957497428948563, w2=0.0010244642640883006, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=31, p2=31, z=2.602887133605996, z2=1.5796329298388314, w=0.0010548101234327321, w2=0.001058980373683597, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=25, p2=37, z=3.107467238954682, z2=0.7105336042703942, w=0.0010625747346194741, w2=0.0010970245451904198, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=33, p2=28, z=3.3075925585426758, z2=1.5733079552657951, w=0.0010080899210853146, w2=0.001064862323770035, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=29, p2=31, z=3.357189973500763, z2=0.8527758112292126, w=0.001058410650294381, w2=0.001062467381451361, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=26, p2=35, z=1.254300555729775, z2=0.14316530733519015, w=0.0010230046825719058, w2=0.0010238015411896367, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=36, p2=25, z=2.764689575148742, z2=2.2399639653309826, w=0.0010571308734126069, w2=0.0010090330080291907, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=31, p2=29, z=2.2929777364329804, z2=1.3518527952874864, w=0.0010255390337008143, w2=0.001072147125301616, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=37, p2=25, z=3.1071900405445874, z2=2.1816090753784207, w=0.0010844543058980039, w2=0.0010049320029809118, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=33, p2=27, z=0.9009505606178861, z2=3.3529777341050884, w=0.0010787340401462449, w2=0.0010852738534124033, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=34, p2=29, z=0.8372641023318038, z2=2.297154510461605, w=0.0010952726725440103, w2=0.0010080608527647077, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=32, p2=30, z=2.836571343132065, z2=1.7869276452480027, w=0.0010126062041837399, w2=0.0010439350877011382, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=36, p2=26, z=0.608935336047096, z2=2.749606839610177, w=0.0010652619598197255, w2=0.0010872306813526327, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=24, p2=37, z=0.8587864922754977, z2=1.4663472284992987, w=0.0010853455227409544, w2=0.0010891420343252629, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=25, p2=35, z=3.143853546651531, z2=2.9099962460396407, w=0.0010633219542115068, w2=0.0010939224517048176, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=26, p2=34, z=2.0005833903167183, z2=0.5936190150418856, w=0.0010175596880624544, w2=0.0010731376481859561, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=37, p2=25, z=2.5707018803458, z2=1.9612348709453793, w=0.0010817508685405583, w2=0.0010546670302498578, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=33, p2=29, z=0.666565119862213, z2=3.3673255786984075, w=0.001041861314128955, w2=0.001096313221246679, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=27, p2=34, z=1.83892308286636, z2=3.0328534052919043, w=0.001033814270915857, w2=0.0010453701792396634, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=35, p2=27, z=1.0867131853068144, z2=2.736962900041741, w=0.0010871974412880697, w2=0.001028802630605065, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=40, p2=23, z=1.234222086411102, z2=0.7249707352826835, w=0.001081676599241776, w2=0.0010412252123596568, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=35, p2=25, z=1.25435313309132, z2=0.5958751208849942, w=0.001063949367500548, w2=0.0010042623809732969, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=26, p2=35, z=3.6927585782582875, z2=2.773269948772838, w=0.00100274250657968, w2=0.0010931504040325637, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=30, p2=30, z=3.639943660653609, z2=1.5678997260531207, w=0.0010176267846989297, w2=0.0010911835945343383, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=23, p2=38, z=0.29599680561825836, z2=0.8443557141922298, w=0.0010779860558181155, w2=0.0010541696093034974, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=29, p2=33, z=3.1030119830865783, z2=3.413494167715901, w=0.0010935288291132974, w2=0.0010915965365904266, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=40, p2=22, z=1.148258159840613, z2=0.9194120166664547, w=0.0010890408832256073, w2=0.0010048855956592878, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=26, p2=36, z=3.47934447393831, z2=3.0481123261908443, w=0.001096706983402694, w2=0.0010541000832989744, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=38, p2=22, z=0.377016334418571, z2=2.3904696784925297, w=0.0010983601144112804, w2=0.0010528141126050258, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=32, p2=28, z=0.9033369659625788, z2=3.4011638355739673, w=0.0010070903936921238, w2=0.0010605700251835905, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=26, p2=35, z=1.9996909399533545, z2=1.0263280235328398, w=0.001051074386164991, w2=0.001030493519410265, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=34, p2=28, z=0.5714228375074685, z2=0.5349540294861952, w=0.001087697998410385, w2=0.001092129670132641, val_np=(nan+nanj), val_jax=0j
